formula,No,S_Phase,Phase,delta,Tm,D_Tm (K),?Hmix (kJ/mol),elec_diff,VEC,modulus_calc,D_Bulk (GPa),Tm,composition_norm
Al170Cu20Hf10,3,AM,AM,0.040780333,1054.5265,356.3578298,6.821637139,1.6235,3.85,84.1,20.04470005,0,Al170Cu20Hf10
Al11Cu11Mg4,3,IM,IM,0.081527091,1111.370769,211.0329994,0.498221076,1.686538462,6.230769231,98.30769231,37.1905377,0,Al11Cu11Mg4
Al2CuMg,3,IM,IM,0.079581612,1036.9275,185.2878124,0.488140605,1.6075,4.75,84.25,34.58594368,0,Al2CuMg
Al6CuMg4,3,IM,IM,0.06856518,968.2354545,123.2786823,0.312960268,1.527272727,3.363636364,70.54545455,26.30714952,0,Al6CuMg4
Al7Cu3Mg6,3,IM,IM,0.080587476,1009.1,167.5617134,0.487781971,1.551875,4.125,76.375,33.58920027,0,Al7Cu3Mg6
AlCuMg,3,IM,IM,0.091796511,1071.413333,202.5298507,0.608580619,1.606666667,5.333333333,87.0,39.55586766,0,AlCuMg
Al21Cu2Mn3,3,IM,IM,0.032839485,1033.669615,208.2489345,4.060946539,1.625384615,4.076923077,86.0,20.93947321,0,Al21Cu2Mn3
AlCu2Mn,3,IM,IM,0.047586315,1292.0025,217.2119625,4.765189529,1.74,8.0,119.0,26.13426869,0,AlCu2Mn
Al31Cu16Ni14,3,IM,IM,0.063157393,1227.112951,325.3895924,6.259918961,1.754918033,6.704918033,116.6557377,43.63292682,0,Al31Cu16Ni14
AlCuNi,3,SS+IM,FCC+B2,0.061574777,1339.746667,324.6157838,6.616788723,1.806666667,8.0,132.0,42.83300908,0,AlCuNi
Al5CuTi2,3,IM,IM,0.038894433,1238.39,428.1434106,6.907845015,1.62875,4.25,92.5,22.99456458,0,Al5CuTi2
AlCu2Ti,3,IM,IM,0.062505012,1397.5025,358.4246911,6.099436449,1.7375,7.25,116.5,26.39602243,0,AlCu2Ti
Al85.5Fe9Ce5.5,3,AM,AM,0.053698053,1019.84685,250.6785761,6.045608545,1.60285,3.505,81.49,30.42170114,0,Al85.5Ce5.5Fe9
Al22Fe3Ti8,3,IM,IM,0.041205297,1257.495152,459.4583256,4.148763144,1.613030303,3.696969697,92.78787879,28.31399437,0,Al22Fe3Ti8
Al2FeTi,3,IM,IM,0.063152898,1404.735,473.5010034,5.552659836,1.6475,4.5,108.0,38.39270764,0,Al2FeTi
AlFe2Ti,3,IM,IM,0.07704217,1624.1175,402.2619251,4.563784066,1.7025,5.75,131.5,40.33298898,0,AlFe2Ti
Al70Fe20Zr10,3,AM,AM,0.070075168,1228.429,457.9313929,7.191230215,1.626,4.1,87.2,47.11008385,0,Al70Fe20Zr10
Al5Hf4Ni16,3,IM,IM,0.09582442,1693.574,471.0794781,5.025943478,1.7524,7.64,148.0,43.85430424,0,Al5Hf4Ni16
Al4In3Sn3,3,IM,IM,0.052932165,653.837,230.1758772,1.749477636,1.766,3.3,47.8,32.16768565,0,Al4In3Sn3
Al8Li5Mg2,3,IM,IM,0.040988857,772.134,225.2281555,0.849145278,1.36,2.2,50.2,29.50977239,0,Al8Li5Mg2
Al2Li3Si2,3,IM,IM,0.110976074,943.1271429,510.691939,11.58595594,1.422857143,2.428571429,55.0,39.16995933,0,Al2Li3Si2
Al9Mn4Si3,3,IM,IM,0.077075001,1221.139375,330.7893209,5.591037455,1.649375,4.1875,91.5,18.75499933,0,Al9Mn4Si3
AlMnSi,3,IM,IM,0.089262097,1379.823333,322.9855246,8.855725171,1.686666667,4.666666667,98.66666667,17.98765008,0,AlMnSi
Al3Nb10Ni9,3,IM,IM,0.066679566,2084.200455,658.7640272,4.167974097,1.728181818,6.772727273,161.2727273,34.20018849,0,Al3Nb10Ni9
AlNi6Ta,3,IM,IM,0.061991805,1823.93375,612.1167827,2.714672319,1.82125,8.5,169.5,35.94092375,0,AlNi6Ta
AlNi2Ti,3,IM,IM,0.075052471,1582.6175,384.7410284,5.184110338,1.7425,6.75,136.5,45.13036672,0,AlNi2Ti
Al85.8Ni9.1Y5.1,3,AM,AM,0.070176939,1049.91426,286.5192425,5.58586201,1.61741,3.637,83.679,31.42871233,0,Al85.8Ni9.1Y5.1
